N,T,Y_C2H4
23074,300.0,3.5258046e-10
23075,300.0,2.0827687e-10
23076,300.0,1.2143223e-10
23077,300.00003,6.98957e-11
23078,300.00003,3.972561e-11
23079,300.00003,2.2291526e-11
23080,300.00003,1.2344144e-11
23081,300.00006,6.882186e-12
23082,300.00006,3.879198e-12
23083,300.0001,2.2072335e-12
23084,300.0001,1.1734291e-12
23085,300.00012,6.4394117e-13
23086,300.00015,3.6217725e-13
23087,300.00018,1.9562664e-13
23088,300.00024,1.08853187e-13
23089,300.00027,6.181865e-14
23090,300.00034,3.3127716e-14
23091,300.00043,1.9627988e-14
23092,300.0005,1.3554444e-14
23093,300.00055,1.1923531e-14
23094,300.00064,1.3791429e-14
23095,300.0007,1.8775932e-14
23096,300.0008,2.7629959e-14
23097,300.0009,4.323599e-14
23098,300.00095,6.4736844e-14
23099,300.001,9.991238e-14
23100,309.03903,0.035637453
23101,308.32782,0.032324888
23102,307.65228,0.029235408
23103,307.01318,0.026365673
23104,306.4109,0.023710515
23105,305.84546,0.021263223
23106,305.31656,0.01901581
23107,304.82355,0.01695929
23108,304.36554,0.015083925
23109,303.9415,0.013379487
23110,303.55008,0.011835457
23111,303.18994,0.010441203
23112,302.85953,0.009186139
23113,302.55728,0.008059848
23114,302.2816,0.0070521836
23115,302.0308,0.006153355
23116,301.80325,0.0053539933
23117,301.5974,0.0046451986
23118,301.41165,0.0040185717
23119,301.24445,0.003466233
23120,301.09433,0.002980832
23121,300.9599,0.0025555452
23122,300.83984,0.0021840674
23123,300.7329,0.0018605986
23124,300.63788,0.0015798253
23125,300.55365,0.0013368989
23126,300.47922,0.0011274115
23127,300.41364,0.0009473707
23128,300.35596,0.0007931739
23129,300.30542,0.0006615814
23130,300.26123,0.00054969057
23131,300.22272,0.00045490978
23132,300.18927,0.00037493376
23133,300.1603,0.00030771928
23134,300.1353,0.00025146222
23135,300.1138,0.00020457574
23136,300.09537,0.00016566958
23137,300.0796,0.00013353069
23138,300.06616,0.000107105065
23139,300.0548,8.548086e-05
23140,300.0452,6.787279e-05
23141,300.0371,5.3607666e-05
23142,300.03033,4.211118e-05
23143,300.02466,3.2895816e-05
23144,300.02,2.5549865e-05
23145,300.0161,1.9727479e-05
23146,300.0129,1.5139737e-05
23147,300.01028,1.1546652e-05
23148,300.00818,8.750046e-06
23149,300.00644,6.587261e-06
23150,300.00507,4.9256305e-06
23151,300.00394,3.657645e-06
23152,300.00305,2.696761e-06
23153,300.00235,1.973791e-06
23154,300.0018,1.4338125e-06
23155,300.00137,1.0335432e-06
23156,300.00104,7.391294e-07
23157,300.00076,5.242959e-07
23158,300.00058,3.6881016e-07
23159,300.00043,2.5721948e-07
23160,300.0003,1.7782027e-07
23161,300.0002,1.218245e-07
23162,300.00015,8.2691514e-08
23163,300.00012,5.559734e-08
23164,300.0001,3.701715e-08
23165,300.00006,2.4399949e-08
23166,300.00003,1.591758e-08
23167,300.00003,1.0273028e-08
23168,300.00003,6.555579e-09
23169,300.0,4.1325143e-09
23170,300.0,2.5690319e-09
23171,300.0,1.5910105e-09
23172,300.0,1.0110657e-09
23173,300.0,6.1168043e-10
23174,300.0,3.6604583e-10
23175,300.0,2.1639274e-10
23176,300.0,1.2631238e-10
23177,300.00003,7.280091e-11
23178,300.00003,4.143323e-11
23179,300.00003,2.3283982e-11
23180,300.00003,1.2918608e-11
23181,300.00006,7.200074e-12
23182,300.00006,4.0166885e-12
23183,300.0001,2.3097566e-12
23184,300.0001,1.228726e-12
23185,300.00012,6.8206427e-13
23186,300.00015,3.8102865e-13
23187,300.0002,2.0971166e-13
23188,300.00024,1.1589438e-13
